time,Gross Domestic Product (Expenditure) current basic prices index SA,Gross Domestic Product (Income) chained volume index: SA,Gross Domestic Product (Income) current basic prices index SA,Gross Domestic Product (Expenditure) chained volume index: SA,Gross Domestic Product: Year on Year growth: CVM SA %,Gross Domestic Product: Quarter on Quarter growth: CVM SA %,Gross Domestic Product: quarter on quarter growth rate: CP SA %,Gross Domestic Product: q-on-q4 growth quarter growth: CP SA %,Gross Domestic Product: q-on-q4 growth rate CVM SA %,Gross Domestic Product (Income) current basic prices: aligned: SA £m,Gross Domestic Product (Expenditure) chained volume measure SA £m,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,Gross Domestic Product at market prices: CP: NSA £m,Gross Domestic Product index: Current price: Seasonally adjusted,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,Gross Domestic Product at market prices:Implied deflator:SA 2017=100,"Gross Domestic Product at market prices, q-on-q4 growth: CP: NSA £m","Gross Domestic Product at market prices, q-on-q1 growth: CP: NSA £m",measure,measure_value
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,GVA per hour worked: GOR England (Index UK=100),102.1
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,GVA per hour worked: GOR Wales (Index UK=100),83.5
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,GVA per hour worked: GOR Scotland (Index UK=100),93.4
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,GVA per hour worked: GOR North East (Index UK=100),86.6
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.9
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,98.8
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,92.5
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.5
2007,79.1,91.3,79.1,91.3,2.5,NA,NA,NA,NA,1388286.0,1603812.0,1388286.0,1541442.0,78.3,1798121.0,1541442.0,83.8733,NA,NA,GVA per hour worked: GOR Northern Ireland Index UK=100),82.2
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR North West & Merseyside (Index UK=100),93.4
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),90.1
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR East Midlands (Index UK=100),87.6
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR West Midlands (Index UK=100),87.6
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR East (Index UK=100),100.1
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR London (Index UK=100),130.9
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR South East (Index UK=100),109.0
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR South West (Index UK=100),93.0
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR England (Index UK=100),102.2
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR Wales (Index UK=100),82.8
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR Scotland (Index UK=100),92.9
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR North East (Index UK=100),86.4
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.5
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,98.1
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,92.9
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-0.6
2008,81.4,91.2,81.4,91.2,-0.3,NA,NA,NA,NA,1429641.0,1601889.0,1429641.0,1579796.0,80.2,1791901.0,1579796.0,86.2763,NA,NA,GVA per hour worked: GOR Northern Ireland Index UK=100),81.1
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR North West & Merseyside (Index UK=100),94.3
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),89.7
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR East Midlands (Index UK=100),86.0
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR West Midlands (Index UK=100),86.2
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR East (Index UK=100),99.3
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR London (Index UK=100),130.9
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR South East (Index UK=100),108.9
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR South West (Index UK=100),92.4
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR England (Index UK=100),101.8
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR Wales (Index UK=100),81.9
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR Scotland (Index UK=100),97.0
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR North East (Index UK=100),85.3
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.9
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,96.7
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,90.2
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-1.5
2009,79.7,87.3,79.7,87.3,-4.2,NA,NA,NA,NA,1399987.0,1532317.0,1399987.0,1537213.0,78.0,1715807.0,1537213.0,87.6608,NA,NA,GVA per hour worked: GOR Northern Ireland Index UK=100),81.9
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR North West & Merseyside (Index UK=100),92.4
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),87.9
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR East Midlands (Index UK=100),85.9
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR West Midlands (Index UK=100),86.5
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR East (Index UK=100),98.7
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR London (Index UK=100),132.6
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR South East (Index UK=100),109.8
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR South West (Index UK=100),92.3
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR England (Index UK=100),101.8
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR Wales (Index UK=100),81.5
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR Scotland (Index UK=100),97.0
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR North East (Index UK=100),86.4
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.5
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,97.9
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,90.7
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.3
2010,81.4,88.9,81.4,88.9,1.7,NA,NA,NA,NA,1429621.0,1560558.0,1429621.0,1587466.0,80.6,1745168.0,1587466.0,89.0024,NA,NA,GVA per hour worked: GOR Northern Ireland Index UK=100),82.1
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR North West & Merseyside (Index UK=100),92.1
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),87.5
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR East Midlands (Index UK=100),86.2
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR West Midlands (Index UK=100),88.2
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR East (Index UK=100),98.1
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR London (Index UK=100),133.5
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR South East (Index UK=100),107.6
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR South West (Index UK=100),89.9
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR England (Index UK=100),101.7
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR Wales (Index UK=100),82.5
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR Scotland (Index UK=100),96.6
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR North East (Index UK=100),88.8
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.4
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,99.0
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,91.1
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.1
2011,83.6,90.2,83.6,90.2,1.6,NA,NA,NA,NA,1468323.0,1583275.0,1468323.0,1644546.0,83.5,1773872.0,1644546.0,90.7119,NA,NA,GVA per hour worked: GOR Northern Ireland Index UK=100),84.4
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR North West & Merseyside (Index UK=100),92.1
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),87.3
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR East Midlands (Index UK=100),86.7
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR West Midlands (Index UK=100),87.3
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR East (Index UK=100),96.9
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR London (Index UK=100),131.7
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR South East (Index UK=100),107.1
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR South West (Index UK=100),91.2
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR England (Index UK=100),101.4
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR Wales (Index UK=100),84.2
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR Scotland (Index UK=100),97.3
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR North East (Index UK=100),88.8
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.9
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,98.3
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,92.9
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-0.7
2012,86.3,91.3,86.3,91.3,1.4,NA,NA,NA,NA,1514910.0,1602991.0,1514910.0,1694417.0,86.0,1799541.0,1694417.0,92.1258,NA,NA,GVA per hour worked: GOR Northern Ireland Index UK=100),87.0
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR North West & Merseyside (Index UK=100),92.1
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),87.4
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR East Midlands (Index UK=100),88.2
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR West Midlands (Index UK=100),87.3
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR East (Index UK=100),96.6
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR London (Index UK=100),130.3
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR South East (Index UK=100),108.3
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR South West (Index UK=100),90.8
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR England (Index UK=100),101.5
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR Wales (Index UK=100),84.2
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR Scotland (Index UK=100),97.9
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR North East (Index UK=100),88.2
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.8
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,97.9
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,94.6
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-0.4
2013,89.6,92.6,89.6,92.6,2.0,NA,NA,NA,NA,1573223.0,1626158.0,1573223.0,1761347.0,89.4,1836365.0,1761347.0,93.8443,NA,NA,GVA per hour worked: GOR Northern Ireland Index UK=100),83.7
2014,93.7,95.7,93.7,95.7,2.9,NA,NA,NA,NA,1645955.0,1680700.0,1645955.0,1844295.0,93.6,1890493.0,1844295.0,95.4537,NA,NA,GVA per hour worked: GOR North West & Merseyside (Index UK=100),89.1
2014,93.7,95.7,93.7,95.7,2.9,NA,NA,NA,NA,1645955.0,1680700.0,1645955.0,1844295.0,93.6,1890493.0,1844295.0,95.4537,NA,NA,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),85.7
2014,93.7,95.7,93.7,95.7,2.9,NA,NA,NA,NA,1645955.0,1680700.0,1645955.0,1844295.0,93.6,1890493.0,1844295.0,95.4537,NA,NA,GVA per hour worked: GOR East Midlands (Index UK=100),89.1
2014,93.7,95.7,93.7,95.7,2.9,NA,NA,NA,NA,1645955.0,1680700.0,1645955.0,1844295.0,93.6,1890493.0,1844295.0,95.4537,NA,NA,GVA per hour worked: GOR West Midlands (Index UK=100),88.0
2014,93.7,95.7,93.7,95.7,2.9,NA,NA,NA,NA,1645955.0,1680700.0,1645955.0,1844295.0,93.6,1890493.0,1844295.0,95.4537,NA,NA,GVA per hour worked: GOR East (Index UK=100),97.6
2014,93.7,95.7,93.7,95.7,2.9,NA,NA,NA,NA,1645955.0,1680700.0,1645955.0,1844295.0,93.6,1890493.0,1844295.0,95.4537,NA,NA,GVA per hour worked: GOR London (Index UK=100),132.3
